1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
37:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):198:10 |==> -10
38:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):199:worklist.add(entry) |==> <NO-OP>
39:COR:nodePriorities.containsKey(current):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):203:nodePriorities.containsKey(current) |==> false
40:COR:nodePriorities.containsKey(current):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):203:nodePriorities.containsKey(current) |==> true
41:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):207:nodePriorities.put(current, ++priorityCounter) |==> <NO-OP>
42:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):212:worklist.add(candidate) |==> <NO-OP>
43:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:astPosition.put(n, astPositionCounter++) |==> <NO-OP>
44:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:n == cfg.getEntry().getValue() |==> false
45:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions != (n == cfg.getEntry().getValue())
46:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions
47:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> n == cfg.getEntry().getValue()
48:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> true
49:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):225:exceptionHandler.push(n) |==> <NO-OP>
50:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):226:true |==> false
51:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):228:false |==> true
52:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:exceptionHandler.push(n) |==> <NO-OP>
53:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):231:true |==> false
54:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):250:parent != null |==> true
55:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):254:n == parent.getLastChild() |==> false
56:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):260:n != parent.getFirstChild() |==> true
57:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):262:n != parent.getFirstChild().getNext() |==> true
58:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):268:n != parent.getFirstChild() |==> true
59:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):270:n == parent.getFirstChild().getNext().getNext() |==> false
60:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):277:false |==> true
61:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):285:n == parent.getFirstChild().getNext() |==> false
62:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):286:exceptionHandler.peek() == parent |==> false
63:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):286:Preconditions.checkState(exceptionHandler.peek() == parent) |==> <NO-OP>
64:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):287:exceptionHandler.pop() |==> <NO-OP>
65:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):291:true |==> false
66:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):298:handleIf(n) |==> <NO-OP>
67:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):301:handleWhile(n) |==> <NO-OP>
68:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):304:handleDo(n) |==> <NO-OP>
69:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):307:handleFor(n) |==> <NO-OP>
70:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):310:handleSwitch(n) |==> <NO-OP>
71:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):313:handleCase(n) |==> <NO-OP>
72:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):316:handleDefault(n) |==> <NO-OP>
73:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):320:handleStmtList(n) |==> <NO-OP>
74:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):323:handleFunction(n) |==> <NO-OP>
75:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):326:handleExpr(n) |==> <NO-OP>
76:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):329:handleThrow(n) |==> <NO-OP>
77:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):332:handleTry(n) |==> <NO-OP>
78:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):335:handleCatch(n) |==> <NO-OP>
79:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):338:handleBreak(n) |==> <NO-OP>
80:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):341:handleContinue(n) |==> <NO-OP>
81:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):344:handleReturn(n) |==> <NO-OP>
82:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):347:handleWith(n) |==> <NO-OP>
83:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):352:handleStmt(n) |==> <NO-OP>
84:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):360:createEdge(node, Branch.ON_TRUE, computeFallThrough(thenBlock)) |==> <NO-OP>
85:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):362:elseBlock == null |==> false
86:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):363:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)) |==> <NO-OP>
87:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):366:createEdge(node, Branch.ON_FALSE, computeFallThrough(elseBlock)) |==> <NO-OP>
88:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):368:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)) |==> <NO-OP>
89:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):374:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild().getNext())) |==> <NO-OP>
90:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):378:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)) |==> <NO-OP>
91:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):380:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)) |==> <NO-OP>
92:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):387:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild())) |==> <NO-OP>
93:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):389:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)) |==> <NO-OP>
94:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):391:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)) |==> <NO-OP>
95:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:4 |==> 0
96:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:4 |==> -4
97:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:forNode.getChildCount() == 4 |==> forNode.getChildCount() <= 4
98:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:forNode.getChildCount() == 4 |==> forNode.getChildCount() >= 4
99:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:forNode.getChildCount() == 4 |==> false
100:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):404:createEdge(init, Branch.UNCOND, forNode) |==> <NO-OP>
101:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):406:createEdge(forNode, Branch.ON_TRUE, computeFallThrough(body)) |==> <NO-OP>
102:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):408:createEdge(forNode, Branch.ON_FALSE, computeFollowNode(forNode, this)) |==> <NO-OP>
103:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):414:createEdge(iter, Branch.UNCOND, forNode) |==> <NO-OP>
104:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):415:connectToPossibleExceptionHandler(init, init) |==> <NO-OP>
105:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):416:connectToPossibleExceptionHandler(forNode, cond) |==> <NO-OP>
106:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):417:connectToPossibleExceptionHandler(iter, iter) |==> <NO-OP>
107:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):424:createEdge(collection, Branch.UNCOND, forNode) |==> <NO-OP>
108:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):426:createEdge(forNode, Branch.ON_TRUE, computeFallThrough(body)) |==> <NO-OP>
109:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):428:createEdge(forNode, Branch.ON_FALSE, computeFollowNode(forNode, this)) |==> <NO-OP>
110:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):430:connectToPossibleExceptionHandler(forNode, collection) |==> <NO-OP>
111:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):439:next != null |==> true
112:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):440:createEdge(node, Branch.UNCOND, next) |==> <NO-OP>
