1:LVR:0:POS:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):56:0 |==> 1
19:COR:Branch.ON_EX.equals(edge.getValue()):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):155:Branch.ON_EX.equals(edge.getValue()) |==> false
20:COR:Branch.ON_EX.equals(edge.getValue()):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):155:Branch.ON_EX.equals(edge.getValue()) |==> true
21:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):156:true |==> false
22:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):156:conditional = true |==> <NO-OP>
23:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):159:computeGenKill(node, gen, kill, conditional) |==> <NO-OP>
24:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):162:result.liveSet.andNot(kill) |==> <NO-OP>
25:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):163:result.liveSet.or(gen) |==> <NO-OP>
26:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):190:computeGenKill(NodeUtil.getConditionExpression(n), gen, kill, conditional) |==> <NO-OP>
27:COR:NodeUtil.isForIn(n):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):195:NodeUtil.isForIn(n) |==> false
28:COR:NodeUtil.isForIn(n):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):195:NodeUtil.isForIn(n) |==> true
29:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):196:computeGenKill(NodeUtil.getConditionExpression(n), gen, kill, conditional) |==> <NO-OP>
30:COR:NodeUtil.isVar(lhs):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):202:NodeUtil.isVar(lhs) |==> false
31:COR:NodeUtil.isVar(lhs):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):202:NodeUtil.isVar(lhs) |==> true
32:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):204:lhs = lhs.getLastChild() |==> <NO-OP>
33:COR:NodeUtil.isName(lhs):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):206:NodeUtil.isName(lhs) |==> false
34:COR:NodeUtil.isName(lhs):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):206:NodeUtil.isName(lhs) |==> true
35:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):207:addToSetIfLocal(lhs, kill) |==> <NO-OP>
36:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):208:addToSetIfLocal(lhs, gen) |==> <NO-OP>
37:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):210:computeGenKill(lhs, gen, kill, conditional) |==> <NO-OP>
38:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):212:computeGenKill(rhs, gen, kill, conditional) |==> <NO-OP>
39:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):217:c != null |==> true
40:COR:c.hasChildren():TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):218:c.hasChildren() |==> false
41:COR:c.hasChildren():FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):218:c.hasChildren() |==> true
42:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):219:computeGenKill(c.getFirstChild(), gen, kill, conditional) |==> <NO-OP>
43:COR:conditional:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):220:conditional |==> false
44:COR:conditional:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):220:conditional |==> true
45:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):221:addToSetIfLocal(c, kill) |==> <NO-OP>
46:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):229:computeGenKill(n.getFirstChild(), gen, kill, conditional) |==> <NO-OP>
47:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):231:true |==> false
48:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):231:computeGenKill(n.getLastChild(), gen, kill, true) |==> <NO-OP>
49:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):235:computeGenKill(n.getFirstChild(), gen, kill, conditional) |==> <NO-OP>
50:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):237:true |==> false
51:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):237:computeGenKill(n.getFirstChild().getNext(), gen, kill, true) |==> <NO-OP>
52:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):238:true |==> false
53:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):238:computeGenKill(n.getLastChild(), gen, kill, true) |==> <NO-OP>
54:COR:isArgumentsName(n):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):242:isArgumentsName(n) |==> false
55:COR:isArgumentsName(n):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):242:isArgumentsName(n) |==> true
56:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):243:markAllParametersEscaped() |==> <NO-OP>
57:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):245:addToSetIfLocal(n, gen) |==> <NO-OP>
58:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):250:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isAssignmentOp(n) == NodeUtil.isName(n.getFirstChild())
59:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):250:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> false
60:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):250:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isAssignmentOp(n)
61:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):250:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isName(n.getFirstChild())
62:COR:conditional:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):252:conditional |==> false
63:COR:conditional:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):252:conditional |==> true
64:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):253:addToSetIfLocal(lhs, kill) |==> <NO-OP>
65:COR:NodeUtil.isAssign(n):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):255:NodeUtil.isAssign(n) |==> false
66:COR:NodeUtil.isAssign(n):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):255:NodeUtil.isAssign(n) |==> true
67:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):257:addToSetIfLocal(lhs, gen) |==> <NO-OP>
68:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):259:computeGenKill(lhs.getNext(), gen, kill, conditional) |==> <NO-OP>
69:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):261:c != null |==> true
70:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):262:computeGenKill(c, gen, kill, conditional) |==> <NO-OP>
71:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):270:Preconditions.checkState(NodeUtil.isName(node)) |==> <NO-OP>
72:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):272:false |==> true
73:COR:jsScope.isDeclared(name, false):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):272:jsScope.isDeclared(name, false) |==> false
74:COR:jsScope.isDeclared(name, false):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):272:jsScope.isDeclared(name, false) |==> true
75:COR:escaped.contains(var):TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):276:escaped.contains(var) |==> false
76:COR:escaped.contains(var):FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):276:escaped.contains(var) |==> true
77:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):277:set.set(var.index) |==> <NO-OP>
78:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@markAllParametersEscaped():287:arg != null |==> true
79:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@markAllParametersEscaped():288:escaped.add(jsScope.getVar(arg.getString())) |==> <NO-OP>
80:ROR:!=(int,int):<(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME |==> n.getType() < Token.NAME
81:ROR:!=(int,int):>(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME |==> n.getType() > Token.NAME
82:ROR:!=(int,int):TRUE(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME |==> true
83:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> n.getType() != Token.NAME != !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
84:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> n.getType() != Token.NAME
85:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):294:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
86:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> true
87:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):295:false |==> true
88:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> (n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS)) != jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false)
89:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):293:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
90:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):295:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false)
91:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):294:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> true
92:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):296:false |==> true
93:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):298:true |==> false
